,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo Notebook Price List - 1st Jan'26 to 31st Jan '26,,,,,,,,,,,,,,,,,,,,,,,
,Ideapad Pro 5,Thin & Light,83D5000SIN,R7 8845HS,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,16_2K_OLED_GL_400N_120_HD,ARCTIC_GREY,1.91Kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,126952,,126952,127587.12,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83D5000SIN.webp
,Ideapad Slim 5,Thin & Light,83DC0042IN,Core Ultra 5 125H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021,INTEGRATED_GRAPHICS,"16 WUXGA (1920x1200) IPS 300nits Anti-glare, 100% sRGB, 60Hz",Cloud Grey,1.82kg,,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,74919,2836,72084,72444.35,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DC0042IN.webp
,Ideapad Slim 5,Thin & Light,83DC0094IN,Core Ultra 7 155H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,INTEGRATED_GRAPHICS,"16 WUXGA (1920x1200) IPS 300nits Anti-glare, 100% sRGB, 60Hz",Cloud Grey,1.89kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,85116,,85116,85541.18,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DC0094IN.webp
,Ideapad Slim 5,Thin & Light,83DC00ACIN,Core Ultra 5 125H,AI PC,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,M365+OFFICE H&S 2024,INTEGRATED_GRAPHICS,"16 WUXGA (1920x1200) IPS 300nits Anti-glare, 100% sRGB, 60Hz",CLOUD_GREY,1.89kg, GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Non-Backlit,IR Camera,Mainstream,66206,,66206,66537.04,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DC00ACIN.webp
,Legion Pro7,Gaming,83DE001HIN,i9 14900HX,,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,RTX 4080 12GB,16_WQXGA_AG_500N_240_HDR_P3,LENOVO_BLACK,2.62Kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,Per Key RGB,-,Premium,280293,20000,260293,261594.31,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DE001HIN.webp
,Legion Pro7,Gaming,83DE001JIN,i9 14900HX,,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,RTX 4090 16GB,16_WQXGA_AG_500N_240_HDR_P3,LENOVO_BLACK,2.62Kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,Per Key RGB,-,Premium,328940,20000,308940,310485.07,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DE001JIN.webp
,Legion Pro5,Gaming,83DF003NIN,i7 14650HX,,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,RTX 4060 8GB,16_WQXGA_AG_500N_240_HDR_P3,ONYX_GREY,2.5kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,4 Zone RGB,-,Premium,152859,,152859,265790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DF003NIN.webp
,Legion Pro5,Gaming,83DF003PIN,i9 14900HX,,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,RTX 4070 8GB,16_WQXGA_AG_500N_240_HDR_P3,ONYX_GREY,2.5kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,4 Zone RGB,-,Premium,194209,,194209,195180.13,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DF003PIN.webp
,Legion 5 Pro,Gaming,83DF00JBIN,i7 14650HX,,"16GB, 1TB SSD",Windows 11,Office 2024,RTX 4060 8GB,16_WQXGA_AG_500N_240_HDR_P3,ONYX_GREY,,GX41C86982,1 year onsite,1 Year LUS,1 Year ADP,4 Zone RGB,,Premium,153346,,153346,154112.28,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DF00JBIN.webp
,Legion 5,Gaming,83DG004SIN,i7 14650HX,,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,RTX 4060 8GB,16_WQXGA_AG_350N_165_SRGB,LUNA_GREY,2.36kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,4 Zone RGB,-,Premium,143129,,143129,143844.94,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83DG004SIN.webp
