,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo Notebook Price List - 1st Jan'26 to 31st Jan '26,,,,,,,,,,,,,,,,,,,,,,,
,Yoga 7 2-in-1,Convertible,83JR009EIN,Ryzen AI 7 350,Co-Pilot+ PC,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,INTEGRATED_GRAPHICS,14WUXGA_OLED_GL400N_MT_HDRP3_G,SEASHELL,1.38Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,107119,,107119,112890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JR009EIN.webp
,Yoga Slim 7 (Aura Edition),Thin & Light,83JX001LIN,CORE ULT5 228V,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel Arc Graphics 130V,"14 WUXGA (1920x1200) OLED 600nits (peak) / 400nits (typical) Glossy, 100% DCI-P3, 60Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 500, X-Rite®",Luna Grey,1.19kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,111467,,111467,112024.82,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JX001LIN.webp
,Yoga Slim 7 (Aura Edition),Thin & Light,83JX001MIN,CORE Ultra 7 258V,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel® Arc™ Graphics 140V,"14 WUXGA (1920x1200) OLED 600nits (peak) / 400nits (typical) Glossy, 100% DCI-P3, 60Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 500, X-Rite®",Luna Grey,1.19kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,128125,,128125,128765.22,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JX001MIN.webp
,Yoga Slim 7 (Aura Edition),Thin & Light,83JX005FIN,Core Ultra 5 226V,Co-Pilot+ PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel® Arc™ Graphics 130V,"14 WUXGA (1920x1200) OLED 600nits (peak) / 400nits (typical) Glossy, 100% DCI-P3, 60Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 500, X-Rite®",Luna Grey,1.19kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,IR Camera,Premium,101738,,101738,104611,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JX005FIN.webp
,Yoga Slim 7,Thin & Light,83JY000UIN,Ryzen AI 7 350,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated AMD Radeon™ 860M Graphics,"14 WUXGA (1920x1200) OLED 600nits (peak) / 400nits (typical) Glossy, 100% DCI-P3, 60Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 500, X-Rite®",Tidal Teal,1.19Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,FHD 1080p + IR with E-shutter,Premium,110495,,110495,111047.01,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JY000UIN.webp
,Yoga Slim 7,Thin & Light,83JY005YIN,Ryzen AI 7 350,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated AMD Radeon™ 860M Graphics,"14 WUXGA (1920x1200) OLED 600nits (peak) / 400nits (typical) Glossy, 100% DCI-P3, 60Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 500, X-Rite®",Tidal Teal,1.19Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,FHD 1080p + IR with E-shutter,Premium,110495,,110495,111047.01,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JY005YIN.webp
,Yoga Slim 7,Thin & Light,83JY0069IN,Ryzen AI 7 350,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,M365 Basic+OFFICE H&S 2024,Integrated AMD Radeon™ 860M Graphics,"14 WUXGA (1920x1200) OLED 600nits (peak) / 400nits (typical) Glossy, 100% DCI-P3, 60Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 500, X-Rite®",Tidal Teal,1.19Kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,FHD 1080p + IR with E-shutter,Premium,110495,,110495,111047.01,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83JY0069IN.webp
,IdeaPad Slim 3 ,Thin & Light,83K000B8IN,i5-13420H,,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,Integrated Intel® UHD Graphics,14 WUXGA (1920x1200) IPS 300nits Anti-glare,Luna Grey,1.39 kg,GX40Q75210 ,1 Year Onsite,,1 Year ADP,Backlit,-,Mainstream,62911,2000,60911,69890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83K000B8IN.webp
,IdeaPad Slim 3 ,Thin & Light,83K100C6IN,i5 13420H,,8GB 512GB SSD,Windows 11,OFFICE 2024,Integrated Intel UHD Graphics,15.3_WUXGA_AG_300N,LUNA_GREY,1.59KG,GX40Q75210,1 Year Onsite,-,1 Year ADP,Backlit,,Mainstream,63997,3000,60997,62217.39,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83K100C6IN.webp
,IdeaPad Slim 3 ,Thin & Light,83K100C7IN,i5 13420H,,8GB 512GB SSD,Windows 11,OFFICE 2024,Integrated Intel UHD Graphics,15.3_WUXGA_AG_300N,COSMIC_BLUE,1.59KG,GX40Q75210,1 Year Onsite,-,1 Year ADP,Backlit,,Mainstream,64970,3000,61970,62280.24,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83K100C7IN.webp
,IdeaPad Slim 3 ,Thin & Light,83K100HSIN,i5-13420H,,"16GB, 1TB SSD",,OFFICE HOME 2024,Integrated Intel® UHD Graphics,15.3 WUXGA (1920x1200) IPS 300nits Anti-glare,Luna Grey,1.59 kg,GX40Q75210 ,1 Year Onsite,,1 Year ADP,Backlit,-,Mainstream,66138,3000,63139,63454.2,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83K100HSIN.webp
,IdeaPad Slim 3 ,Thin & Light,83K100RWIN,i5 13420H,,16GB 512GB SSD,Windows 11,M365 B + Office 2024,Integrated Intel UHD Graphics,15.3_WUXGA_AG_300N,LUNA_GREY,1.59KG,GX40Q75210,1 Year Onsite,-,1 Year ADP,Backlit,,Mainstream,67237,,67237,68581.41,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83K100RWIN.webp
,Yoga Pro 7 (Aura Edition),Thin & Light,83KF001LIN,CORE ULT9 285H,AI PC,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel® Arc™ 140T GPU,"14.5 3K (3000x1876) OLED 1000nits (peak) / 500nits (typical) Glossy / Anti-fingerprint, 100% DCI-P3, 120Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 1000, Glass, Touch, X-Rite®, PureSight Pro",Luna Grey,1.54kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,133788,,133788,139890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83KF001LIN.webp
,Yoga Book 9 (New),Convertible,83KJ000QIN,Core Ultra 9 285H,AI PC,"32GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel Graphics,"2x 14 2.8K WQXGA+ (2880x1800) OLED 750nits (peak) / 500nits (typical) Glossy / Anti-fingerprint, 100% DCI-P3, 120Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 600, Glass, Touch, PureSight",Tidal Teal,1.22kg,Bundled Sleeve,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,5.0MP + IR with E-shutter,Premium,231006,,231006,232160.78,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83KJ000QIN.webp
,Ideapad 5 2-in-1,Convertible,83KR000HIN,CORE ULT5 225H,AI PC,"16GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,INTEGRATED_GRAPHICS,14_WUXGA_GL_300N_MT_G,LUNA_GREY,1.6Kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,81912,,81912,82321.85,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83KR000HIN.webp
,Ideapad 5 2-in-1,Convertible,83KT000LIN,Ryzen AI 7 350,Co-Pilot+ PC,"24GB, 1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,INTEGRATED_GRAPHICS,"14 WUXGA (1920x1200) OLED 500nits (peak) / 400nits (typical) Glossy, 100% DCI-P3, 60Hz, TÜV Low Blue Light, DisplayHDR™ True Black 500, Glass, Touch",LUNA_GREY,1.5Kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,90669,,90669,91122.09,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83KT000LIN.webp
,Ideapad 5 2-in-1,Convertible,83KT0052IN,Ryzen AI 5 340,Co-Pilot+ PC,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,INTEGRATED_GRAPHICS,"14 WUXGA (1920x1200) IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch",LUNA_GREY,1.6Kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Mainstream,74413,5000,69414,69760.59,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83KT0052IN.webp
,Ideapad 5 2-in-1,Convertible,83KX004QIN,i5 13420H,,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024  ,Integrated Intel UHD Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, Glass, Touch",Luna Grey,1.6 kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Mainstream,70464,,70464,70816,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83KX004QIN.webp
,Ideapad 5 2-in-1,Convertible,83KX004RIN,i7-13620H,,"16GB,512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Intel UHD Graphics,"14 WUXGA (1920x1200) OLED 400nits Glossy, 100% DCI-P3, 60Hz, TÜV Low Blue Light, Glass, Touch",Luna Grey,1.6 kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Premium,80737,,80737,81141.03,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83KX004RIN.webp
,Yoga 9 2in1 (Aura Edition),Convertible,83LC001FIN,CORE ULT7 258V,Co-Pilot+ PC,"32GB,1TB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated Arc Graphics,"14 4K WQUXGA (3840x2400) OLED 600nits (peak) / 400nits (typical) Glossy / Anti-fingerprint, 100% DCI-P3, 60Hz, Eyesafe, Dolby Vision, DisplayHDR True Black 500, Glass, Touch",Cosmic Blue,1.32kg,GX41A41186,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,IR Camera,Premium,201895,,201895,202904.51,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83LC001FIN.webp
,Legion 5,Gaming,83M00073IN,R7 260,,"16GB, 1TB SSD",Legion5 15AHP10,Office 2024,RTX 5050 8GB,15.3 WUXGA IPS 300nits 165Hz 100% sRGB,LENOVO_BLACK,2.1kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,White Backlit,,Premium,135976,,135976,136655.92,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83M00073IN.webp
,Legion 5,Gaming,83M00074IN,R7 260,,"16GB, 1TB SSD",Legion5 15AHP10,Office 2024,RTX 5060 8GB,15.3 WUXGA IPS 300nits 165Hz 100% sRGB,LENOVO_BLACK,2.1kg,GX41C86982,1 Year Onsite,1 year LUS,1 Year ADP,White Backlit,,Premium,145706,,145706,146434.04,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83M00074IN.webp
,IdeaPad Slim 3 ,Thin & Light,83N3002QIN,Snapdragon X X1-26-100,Co-Pilot+ PC,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,Integrated Qualcomm Adreno GPU,15.3 WUXGA (1920x1200) IPS 300nits Anti-glare,Luna Grey,1.55 kg,GX40Q75210 ,1 Year Onsite,,1 Year ADP,Backlit,-,Mainstream,62177,6000,56177,56457.93,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/83N3002QIN.webp
,Series,Form Factor,MTM,CPU,AI PC,RAM/HDD,Operating System,Office,Graphics,Display,Color,Weight,Carrycase MTM,Warranty,Additional Warranty Offering,ADP Additional,Keyboard,Login Option,Segment Type,T3 billing taxpaid,Activation taxpaid,Effective T3 NLC taxpaid,Adjusted_Final_Price,Image
